event_id,event_type,total_attendees,load_factor,venue_capacity,risk_level
EVT01683,Wedding,309,0.97,319,Medium
EVT01891,Birthday Party,415,0.88,472,Medium
EVT04130,Religious Gathering,83503,1.73,48268,Very Critical
EVT04345,Wedding,893,1.39,643,Critical
EVT01027,Corporate Meetup,229,0.32,717,Low
EVT03384,Product Launch,1295,1.19,1089,High
EVT04236,Marathon,183033,1.5,122022,Critical
EVT02063,College Fest,5352,0.82,6528,Medium
EVT01482,Wedding,534,0.96,557,Medium
EVT02677,Festival,81694,1.08,75643,High
EVT03265,Conference,2502,1.06,2361,High
EVT02655,College Fest,2264,1.07,2116,High
EVT04289,Exhibition,7090,1.65,4297,Very Critical
EVT00624,Political Rally,7000,0.32,21876,Low
EVT03867,Cultural Event,20880,1.5,13920,Critical
EVT01393,Sports Match,22605,0.94,24048,Medium
EVT04202,Birthday Party,1031,1.77,583,Very Critical
EVT03354,College Fest,10749,1.21,8884,High
EVT00320,Corporate Meetup,41,0.32,129,Low
EVT03193,Product Launch,1068,1.14,937,High
EVT01248,Cultural Event,3457,0.64,5402,Low
EVT04515,Festival,100981,1.79,56414,Very Critical
EVT01666,College Fest,8724,0.83,10511,Medium
EVT00996,Sports Match,20803,0.49,42456,Low
EVT02556,Concert,38513,1.11,34697,High
EVT00527,Political Rally,88020,0.79,111418,Low
EVT00008,Birthday Party,72,0.68,106,Low
EVT02852,Political Rally,35115,1.27,27650,High
EVT04898,Exhibition,19376,1.34,14460,Critical
EVT04359,Sports Match,35299,1.78,19831,Very Critical
EVT03515,Wedding,301,1.1,274,High
EVT00792,Political Rally,28794,0.41,70231,Low
EVT00820,Marathon,77044,0.69,111659,Low
EVT01731,Political Rally,64651,0.84,76966,Medium
EVT00479,Sports Match,14667,0.58,25288,Low
EVT03520,Conference,400,1.18,339,High
EVT04485,Product Launch,3777,1.77,2134,Very Critical
EVT03493,Religious Gathering,73792,1.01,73062,High
EVT04254,Wedding,1144,1.64,698,Very Critical
EVT04795,Trade Fair,18973,1.65,11499,Very Critical
EVT01470,Marathon,65944,0.85,77582,Medium
EVT04245,College Fest,19330,1.35,14319,Critical
EVT03345,College Fest,3994,1.22,3274,High
EVT02221,Cultural Event,12823,0.89,14408,Medium
EVT01134,Product Launch,1178,0.46,2561,Low
EVT04562,Corporate Meetup,1095,1.5,730,Critical
EVT01028,Festival,17108,0.35,48882,Low
EVT03153,College Fest,12961,1.12,11573,High
EVT02066,Political Rally,22471,0.93,24163,Medium
EVT04979,Product Launch,593,1.55,383,Critical
EVT04621,Marathon,80933,1.49,54318,Critical
EVT00922,Cultural Event,4343,0.59,7362,Low
EVT01148,Concert,19270,0.71,27142,Low
EVT01614,Conference,1065,0.98,1087,Medium
EVT02693,College Fest,3919,1.04,3769,High
EVT01214,Sports Match,8222,0.61,13480,Low
EVT03768,Political Rally,162484,1.32,123094,Critical
EVT00240,Corporate Meetup,313,0.54,580,Low
EVT01566,Festival,60747,0.87,69825,Medium
EVT02810,Conference,2734,1.04,2629,High
EVT00086,Sports Match,5668,0.33,17178,Low
EVT02288,Festival,91104,0.83,109765,Medium
EVT04924,Birthday Party,592,1.6,370,Critical
EVT01624,Movie event,8160,0.97,8413,Medium
EVT02531,Trade Fair,12965,1.24,10456,High
EVT00908,Marathon,32641,0.61,53511,Low
EVT01798,Conference,1684,0.91,1851,Medium
EVT04067,Cultural Event,9282,1.68,5525,Very Critical
EVT00595,Cultural Event,4208,0.7,6012,Low
EVT02257,Marathon,121120,0.86,140838,Medium
EVT03714,Political Rally,90906,1.11,81898,High
EVT01274,Wedding,769,0.98,785,Medium
EVT04415,Product Launch,1901,1.38,1378,Critical
EVT02982,Trade Fair,7534,1.05,7176,High
EVT03964,Conference,914,1.4,653,Critical
EVT02263,Wedding,735,0.99,743,Medium
EVT00448,Conference,342,0.56,612,Low
EVT04243,Conference,4133,1.72,2403,Very Critical
EVT03657,Political Rally,129852,1.29,100661,High
EVT04409,Trade Fair,13308,1.68,7922,Very Critical
EVT04114,College Fest,7105,1.53,4644,Critical
EVT03696,Sports Match,9715,1.09,8913,High
EVT00711,Marathon,38883,0.68,57181,Low
EVT00195,Religious Gathering,35583,0.53,67138,Low
EVT02256,Product Launch,681,0.85,802,Medium
EVT02896,College Fest,2088,1.01,2068,High
EVT00224,Sports Match,9956,0.41,24283,Low
EVT02230,Conference,2256,0.96,2350,Medium
EVT02756,Concert,19115,1.14,16768,High
EVT02491,Sports Match,22101,0.98,22553,Medium
EVT00316,Political Rally,11733,0.42,27936,Low
EVT02649,Movie event,20117,1.14,17647,High
EVT02613,Festival,86928,1.12,77615,High
EVT01894,Movie event,32731,0.9,36368,Medium
EVT00429,Cultural Event,6698,0.63,10633,Low
EVT01400,Movie event,50401,0.87,57933,Medium
EVT02733,Product Launch,2015,1.1,1832,High
EVT01832,Religious Gathering,61776,0.96,64350,Medium
EVT02951,Political Rally,115354,1.21,95334,High
EVT03932,Marathon,141782,1.4,101273,Critical
EVT05000,Conference,1452,1.57,925,Critical
EVT00757,College Fest,3713,0.46,8073,Low
EVT04073,Exhibition,9361,1.44,6501,Critical
EVT02717,Conference,366,1.12,327,High
EVT04229,Sports Match,93231,1.65,56504,Very Critical
EVT04943,Religious Gathering,65279,1.4,46628,Critical
EVT03363,Trade Fair,10100,1.12,9018,High
EVT00910,Movie event,17548,0.44,39883,Low
EVT04872,Religious Gathering,50897,1.39,36617,Critical
EVT00789,Concert,19913,0.39,51061,Low
EVT01853,Corporate Meetup,396,0.94,422,Medium
EVT03352,Exhibition,14126,1.14,12392,High
EVT01337,Movie event,50127,0.92,54486,Medium
EVT01318,Exhibition,12684,0.93,13639,Medium
EVT03513,Concert,11846,1.06,11176,High
EVT00318,Marathon,24348,0.68,35806,Low
EVT04063,Sports Match,105325,1.76,59844,Very Critical
EVT00495,College Fest,5136,0.64,8026,Low
EVT03877,Wedding,270,1.69,160,Very Critical
EVT01122,Marathon,40391,0.58,69641,Low
EVT00072,Marathon,25564,0.44,58100,Low
EVT04965,Product Launch,4735,1.68,2819,Very Critical
EVT03118,Cultural Event,16066,1.22,13169,High
EVT00314,Festival,73443,0.49,149885,Low
EVT03137,College Fest,4396,1.26,3489,High
EVT01829,Cultural Event,9666,0.96,10069,Medium
EVT02198,Birthday Party,417,0.89,469,Medium
EVT03815,Cultural Event,17930,1.61,11137,Very Critical
EVT02384,Birthday Party,374,0.95,394,Medium
EVT03121,Religious Gathering,16321,1.05,15544,High
EVT00253,Sports Match,4577,0.3,15258,Low
EVT01819,Product Launch,548,0.95,577,Medium
EVT01119,Birthday Party,238,0.72,331,Low
EVT04934,Trade Fair,15989,1.48,10804,Critical
EVT04460,Product Launch,2953,1.5,1969,Critical
EVT01805,Birthday Party,100,0.9,112,Medium
EVT03372,College Fest,7007,1.24,5651,High
EVT03848,Wedding,150,1.33,113,Critical
EVT02550,Birthday Party,433,1.25,347,High
EVT02944,Religious Gathering,12321,1.14,10808,High
EVT03074,Trade Fair,5698,1.14,4999,High
EVT02654,Cultural Event,16512,1.22,13535,High
EVT03506,Political Rally,22838,1.18,19355,High
EVT04023,Product Launch,1004,1.63,616,Very Critical
EVT02662,Concert,61002,1.21,50415,High
EVT02819,Trade Fair,2510,1.03,2437,High
EVT02937,Political Rally,37863,1.07,35386,High
EVT04318,Trade Fair,20720,1.6,12950,Critical
EVT03554,Concert,8931,1.08,8270,High
EVT01289,Concert,49074,0.83,59126,Medium
EVT04520,Birthday Party,856,1.65,519,Very Critical
EVT02609,Marathon,55982,1.03,54352,High
EVT01138,Exhibition,6656,0.59,11283,Low
EVT01622,Political Rally,121642,0.83,146557,Medium
EVT02046,Conference,1669,0.92,1815,Medium
EVT03796,Political Rally,80109,1.31,61152,Critical
EVT02933,Sports Match,27971,1.02,27423,High
EVT00706,Concert,13307,0.43,30948,Low
EVT02031,Sports Match,7045,0.95,7416,Medium
EVT04228,Corporate Meetup,168,1.38,122,Critical
EVT04683,Exhibition,12730,1.49,8544,Critical
EVT03426,Birthday Party,522,1.04,502,High
EVT02040,Marathon,94494,0.96,98432,Medium
EVT00877,Cultural Event,8303,0.78,10646,Low
EVT02034,Exhibition,1877,0.84,2235,Medium
EVT02935,Religious Gathering,12866,1.03,12492,High
EVT00065,Cultural Event,4126,0.69,5981,Low
EVT02940,Festival,136061,1.11,122578,High
EVT01099,Birthday Party,70,0.34,207,Low
EVT03653,Festival,131310,1.09,120468,High
EVT04127,Political Rally,148424,1.71,86798,Very Critical
EVT01444,Conference,791,0.93,851,Medium
EVT00625,Festival,75145,0.56,134189,Low
EVT00244,Political Rally,18416,0.37,49774,Low
EVT02518,College Fest,8400,1.06,7925,High
EVT01685,Birthday Party,606,0.91,666,Medium
EVT02743,Cultural Event,17705,1.29,13725,High
EVT01329,Political Rally,99864,0.96,104026,Medium
EVT01029,Wedding,232,0.5,464,Low
EVT01889,Trade Fair,8252,0.85,9709,Medium
EVT04550,Sports Match,33771,1.6,21107,Critical
EVT00091,Festival,31343,0.4,78358,Low
EVT03891,Cultural Event,7208,1.68,4291,Very Critical
EVT01394,Birthday Party,170,0.85,200,Medium
EVT02671,Sports Match,52667,1.24,42474,High
EVT02919,Movie event,61279,1.05,58361,High
EVT01437,Birthday Party,265,0.84,316,Medium
EVT02722,College Fest,5712,1.09,5241,High
EVT00741,Corporate Meetup,172,0.7,247,Low
EVT00728,Product Launch,880,0.42,2097,Low
EVT01543,Movie event,28057,0.97,28925,Medium
EVT01463,Marathon,130696,0.89,146850,Medium
EVT04428,College Fest,12257,1.4,8755,Critical
EVT04486,Sports Match,38857,1.43,27173,Critical
EVT04335,Exhibition,5039,1.42,3549,Critical
EVT02593,Trade Fair,15322,1.09,14057,High
EVT03525,Conference,1107,1.23,900,High
EVT02088,Wedding,167,0.89,188,Medium
EVT03099,Cultural Event,3265,1.11,2942,High
EVT02886,Movie event,34830,1.12,31099,High
EVT02735,College Fest,11850,1.1,10773,High
EVT03526,Religious Gathering,111412,1.24,89849,High
EVT01917,Festival,81487,0.92,88573,Medium
EVT00969,Political Rally,62879,0.55,114326,Low
EVT02661,Birthday Party,372,1.26,296,High
EVT01284,Sports Match,31227,0.89,35087,Medium
EVT02532,Movie event,7922,1.14,6950,High
EVT01078,Conference,1462,0.7,2089,Low
EVT00170,Product Launch,601,0.65,925,Low
EVT02963,Concert,19841,1.28,15501,High
EVT04062,Conference,2244,1.66,1352,Very Critical
EVT04013,Product Launch,2059,1.76,1170,Very Critical
EVT04241,Festival,46078,1.67,27592,Very Critical
EVT01877,Festival,68085,0.84,81054,Medium
EVT02596,Sports Match,22716,1.29,17610,High
EVT01345,Exhibition,2229,0.84,2654,Medium
EVT04884,Movie event,59798,1.44,41527,Critical
EVT02637,Trade Fair,6990,1.08,6473,High
EVT04790,Political Rally,60556,1.46,41477,Critical
EVT04064,Religious Gathering,95778,1.59,60238,Critical
EVT00603,Religious Gathering,41660,0.52,80116,Low
EVT01196,Exhibition,6079,0.43,14139,Low
EVT04642,Wedding,326,1.73,189,Very Critical
EVT02451,Sports Match,21645,0.9,24051,Medium
EVT01341,Religious Gathering,89281,0.82,108880,Medium
EVT04773,Corporate Meetup,722,1.54,469,Critical
EVT04368,Festival,144767,1.78,81330,Very Critical
EVT01033,Wedding,103,0.53,196,Low
EVT04038,Cultural Event,20087,1.47,13665,Critical
EVT04672,Sports Match,60916,1.44,42303,Critical
EVT01654,Exhibition,4827,0.98,4926,Medium
EVT03084,Marathon,183485,1.28,143348,High
EVT04301,Exhibition,11543,1.33,8679,Critical
EVT00416,Corporate Meetup,214,0.48,447,Low
EVT03217,Marathon,47652,1.01,47181,High
EVT04108,Sports Match,70425,1.59,44293,Critical
EVT02191,Sports Match,42035,0.95,44248,Medium
EVT01852,Conference,2271,0.83,2737,Medium
EVT01868,Political Rally,33694,0.91,37027,Medium
EVT04669,Trade Fair,3930,1.79,2196,Very Critical
EVT01536,Trade Fair,6740,0.94,7171,Medium
EVT01613,Product Launch,538,0.91,592,Medium
EVT03349,Festival,49328,1.24,39781,High
EVT02311,Festival,55578,0.89,62448,Medium
EVT03048,Product Launch,3760,1.27,2961,High
EVT04231,Trade Fair,24782,1.74,14243,Very Critical
EVT04696,Concert,40799,1.62,25185,Very Critical
EVT00292,Wedding,328,0.58,567,Low
EVT03940,Birthday Party,218,1.63,134,Very Critical
EVT00368,College Fest,4817,0.52,9264,Low
EVT03287,Product Launch,2512,1.07,2348,High
EVT01995,Festival,65065,0.84,77459,Medium
EVT02454,Corporate Meetup,322,0.91,354,Medium
EVT02468,Concert,15116,0.93,16254,Medium
EVT00120,Conference,616,0.31,1988,Low
EVT00829,Corporate Meetup,81,0.77,106,Low
EVT03165,Concert,18809,1.18,15940,High
EVT04827,Conference,2026,1.65,1228,Very Critical
EVT01727,College Fest,4858,0.91,5339,Medium
EVT01908,Trade Fair,4250,0.87,4886,Medium
EVT02848,Conference,407,1.13,361,High
EVT01275,Religious Gathering,116059,0.94,123468,Medium
EVT04040,Marathon,250966,1.68,149385,Very Critical
EVT02016,Sports Match,26338,0.91,28943,Medium
EVT04687,Festival,81628,1.32,61840,Critical
EVT02828,Concert,46570,1.04,44779,High
EVT03669,Exhibition,4438,1.14,3893,High
EVT01360,Religious Gathering,95593,0.86,111155,Medium
EVT00307,Exhibition,7978,0.78,10229,Low
EVT03104,Sports Match,46021,1.16,39674,High
EVT00436,Wedding,354,0.58,612,Low
EVT02427,Religious Gathering,79642,0.84,94813,Medium
EVT01998,Political Rally,76918,0.99,77695,Medium
EVT02916,Birthday Party,474,1.16,409,High
EVT00753,Festival,41258,0.49,84202,Low
EVT00330,Sports Match,26140,0.77,33949,Low
EVT04659,Sports Match,24266,1.4,17333,Critical
EVT03225,Sports Match,9329,1.19,7840,High
EVT02875,Product Launch,2678,1.1,2435,High
EVT02900,Sports Match,40373,1.27,31790,High
EVT03576,Exhibition,14241,1.17,12172,High
EVT00371,Movie event,4484,0.5,8968,Low
EVT01565,Product Launch,491,0.83,592,Medium
EVT01070,Cultural Event,945,0.47,2011,Low
EVT04681,Product Launch,3592,1.78,2018,Very Critical
EVT04000,Product Launch,3602,1.32,2729,Critical
EVT00206,Cultural Event,1939,0.52,3729,Low
EVT01541,Festival,88976,0.84,105924,Medium
EVT00557,Wedding,364,0.48,760,Low
EVT01590,Exhibition,6565,0.86,7634,Medium
EVT02005,Political Rally,23874,0.82,29115,Medium
EVT03647,Movie event,11910,1.26,9453,High
EVT00500,Cultural Event,4686,0.58,8081,Low
EVT03113,College Fest,4041,1.06,3813,High
EVT01032,Trade Fair,7442,0.67,11108,Low
EVT01487,Exhibition,9629,0.99,9727,Medium
EVT00762,Wedding,354,0.58,611,Low
EVT00149,Conference,1019,0.34,2998,Low
EVT03418,Religious Gathering,68211,1.02,66874,High
EVT03999,Marathon,143487,1.78,80611,Very Critical
EVT03862,College Fest,5231,1.44,3633,Critical
EVT03816,Conference,691,1.51,458,Critical
EVT00549,Marathon,34357,0.64,53684,Low
EVT00744,College Fest,4594,0.62,7411,Low
EVT04710,Religious Gathering,185976,1.68,110700,Very Critical
EVT00333,College Fest,6060,0.73,8302,Low
EVT04496,Marathon,176271,1.52,115968,Critical
EVT00929,Festival,7260,0.32,22690,Low
EVT04867,Exhibition,4593,1.41,3258,Critical
EVT01574,Cultural Event,9007,0.82,10985,Medium
EVT02612,Festival,53499,1.13,47345,High
EVT04646,Religious Gathering,56246,1.34,41975,Critical
EVT01560,Cultural Event,13958,0.95,14693,Medium
EVT03498,Exhibition,9863,1.16,8503,High
EVT02705,Political Rally,133910,1.11,120640,High
EVT04240,Festival,201516,1.45,138977,Critical
EVT01810,Wedding,567,0.86,660,Medium
EVT00090,Sports Match,20458,0.63,32474,Low
EVT00597,Political Rally,26748,0.52,51439,Low
EVT04066,Wedding,223,1.49,150,Critical
EVT04299,Concert,74358,1.32,56332,Critical
EVT01009,Product Launch,545,0.35,1559,Low
EVT02955,Religious Gathering,121976,1.1,110888,High
EVT03600,Corporate Meetup,814,1.04,783,High
EVT04574,Marathon,184036,1.54,119504,Critical
EVT00062,Festival,16001,0.56,28574,Low
EVT04754,Exhibition,14995,1.47,10201,Critical
EVT04796,Birthday Party,496,1.32,376,Critical
EVT03261,Corporate Meetup,656,1.13,581,High
EVT00654,Sports Match,21051,0.76,27699,Low
EVT04822,Conference,3655,1.38,2649,Critical
EVT02047,Trade Fair,5931,0.99,5991,Medium
EVT00983,Birthday Party,151,0.69,220,Low
EVT00036,Conference,1217,0.6,2029,Low
EVT03760,Marathon,74401,1.61,46212,Very Critical
EVT02262,Religious Gathering,68144,0.9,75716,Medium
EVT03497,Sports Match,32178,1.14,28227,High
EVT03564,College Fest,6400,1.05,6096,High
EVT00183,Concert,6510,0.62,10501,Low
EVT02499,Movie event,51447,0.9,57164,Medium
EVT03832,Marathon,192540,1.71,112597,Very Critical
EVT03351,Concert,44194,1.28,34527,High
EVT00491,Movie event,32555,0.66,49326,Low
EVT02595,Corporate Meetup,808,1.2,674,High
EVT03717,Festival,99969,1.26,79341,High
EVT01697,Religious Gathering,65960,0.95,69432,Medium
EVT04899,Sports Match,58523,1.39,42103,Critical
EVT03545,Movie event,24857,1.04,23901,High
EVT04211,Birthday Party,689,1.72,401,Very Critical
EVT02831,Concert,53837,1.09,49392,High
EVT04163,Political Rally,185428,1.62,114462,Very Critical
EVT03798,Marathon,198774,1.57,126608,Critical
EVT01534,Political Rally,124713,0.88,141720,Medium
EVT00913,Religious Gathering,35523,0.78,45543,Low
EVT02678,Cultural Event,7617,1.29,5905,High
EVT02143,Corporate Meetup,560,0.99,566,Medium
EVT00438,Political Rally,38549,0.31,124352,Low
EVT00255,Corporate Meetup,55,0.42,133,Low
EVT00505,Wedding,415,0.74,561,Low
EVT00335,Movie event,19201,0.45,42670,Low
EVT02614,Religious Gathering,25250,1.07,23599,High
EVT04273,Religious Gathering,88532,1.68,52698,Very Critical
EVT02929,Conference,1182,1.09,1085,High
EVT00138,College Fest,4142,0.52,7967,Low
EVT03546,Concert,48252,1.28,37697,High
EVT01548,Exhibition,9359,0.96,9749,Medium
EVT03459,Festival,165946,1.19,139451,High
EVT00810,Corporate Meetup,232,0.66,352,Low
EVT04658,College Fest,18451,1.37,13468,Critical
EVT01108,Wedding,63,0.32,198,Low
EVT03283,Political Rally,79572,1.09,73002,High
EVT00166,Cultural Event,5152,0.42,12268,Low
EVT00461,Trade Fair,3009,0.32,9404,Low
EVT02391,Wedding,439,0.92,478,Medium
EVT03313,Corporate Meetup,576,1.13,510,High
EVT00563,Birthday Party,276,0.78,355,Low
EVT04956,Concert,20939,1.35,15511,Critical
EVT03578,Product Launch,920,1.13,815,High
EVT00621,Product Launch,1279,0.7,1828,Low
EVT04217,Cultural Event,22107,1.6,13817,Critical
EVT01112,College Fest,2974,0.62,4798,Low
EVT03057,Religious Gathering,120134,1.03,116635,High
EVT00213,Sports Match,17226,0.74,23279,Low
EVT00510,Festival,17865,0.37,48285,Low
EVT04168,Wedding,793,1.4,567,Critical
EVT03042,Political Rally,73597,1.02,72154,High
EVT04008,Corporate Meetup,558,1.35,414,Critical
EVT04950,Birthday Party,594,1.52,391,Critical
EVT03735,Wedding,338,1.1,308,High
EVT02486,Cultural Event,12949,0.92,14076,Medium
EVT01143,Political Rally,24262,0.44,55141,Low
EVT04429,Product Launch,4561,1.59,2869,Critical
EVT00208,Trade Fair,5163,0.38,13588,Low
EVT00411,Wedding,100,0.48,210,Low
EVT04771,College Fest,8868,1.68,5279,Very Critical
EVT01787,Corporate Meetup,712,0.98,727,Medium
EVT02704,Exhibition,3174,1.08,2939,High
EVT00719,Corporate Meetup,367,0.64,574,Low
EVT03620,Movie event,51532,1.19,43305,High
EVT02996,Conference,453,1.17,388,High
EVT02845,College Fest,13090,1.07,12234,High
EVT04544,Birthday Party,412,1.48,279,Critical
EVT02899,Movie event,34693,1.15,30168,High
EVT01440,Festival,35739,0.9,39711,Medium
EVT00458,Sports Match,18580,0.52,35731,Low
EVT03581,Birthday Party,795,1.04,765,High
EVT03151,Movie event,66573,1.24,53688,High
EVT03094,Festival,94342,1.25,75474,High
EVT00172,Trade Fair,2907,0.33,8812,Low
EVT04094,College Fest,6061,1.59,3812,Critical
EVT01141,Movie event,13729,0.43,31928,Low
EVT02725,Concert,20673,1.25,16539,High
EVT01776,Trade Fair,10898,0.9,12109,Medium
EVT04736,Cultural Event,11097,1.38,8042,Critical
EVT01100,Conference,698,0.38,1837,Low
EVT01890,Wedding,239,0.97,247,Medium
EVT03691,Exhibition,3337,1.29,2587,High
EVT01259,Exhibition,11967,0.93,12868,Medium
EVT00924,Movie event,6405,0.7,9150,Low
EVT01638,Birthday Party,126,0.9,140,Medium
EVT02423,Conference,1964,0.98,2005,Medium
EVT02726,Religious Gathering,19378,1.25,15503,High
EVT04366,Corporate Meetup,358,1.58,227,Critical
EVT04083,Political Rally,49581,1.62,30606,Very Critical
EVT04310,Movie event,74149,1.64,45213,Very Critical
EVT03756,Sports Match,46851,1.63,28743,Very Critical
EVT01564,Festival,112135,0.93,120576,Medium
EVT02706,College Fest,15867,1.27,12494,High
EVT02360,Festival,118305,0.98,120720,Medium
EVT03930,Trade Fair,16547,1.65,10029,Very Critical
EVT01741,Concert,6540,0.86,7605,Medium
EVT02628,Conference,311,1.03,302,High
EVT02522,Exhibition,5057,1.26,4014,High
EVT01539,Birthday Party,264,0.91,291,Medium
EVT02242,Exhibition,9616,0.95,10123,Medium
EVT03133,College Fest,13906,1.19,11686,High
EVT03186,Concert,65486,1.11,58997,High
EVT01817,Movie event,6098,0.83,7348,Medium
EVT02967,Cultural Event,4316,1.24,3481,High
EVT04319,Birthday Party,343,1.47,234,Critical
EVT03216,Corporate Meetup,237,1.16,205,High
EVT04967,College Fest,20198,1.55,13031,Critical
EVT04439,Wedding,829,1.44,576,Critical
EVT01942,Cultural Event,11049,0.83,13313,Medium
EVT01254,Trade Fair,5891,0.86,6850,Medium
EVT01502,Sports Match,35275,0.86,41018,Medium
EVT04100,Product Launch,2114,1.73,1222,Very Critical
EVT00179,Product Launch,1055,0.63,1676,Low
EVT00011,Festival,12877,0.35,36793,Low
EVT01011,Political Rally,31232,0.66,47322,Low
EVT04660,Festival,96874,1.39,69694,Critical
EVT02379,Movie event,15987,0.99,16149,Medium
EVT04277,Sports Match,89567,1.56,57415,Critical
EVT03922,Trade Fair,14709,1.64,8969,Very Critical
EVT04553,Sports Match,49707,1.56,31864,Critical
EVT04265,Birthday Party,598,1.77,338,Very Critical
EVT04597,Festival,145942,1.41,103505,Critical
EVT01920,Product Launch,797,0.97,822,Medium
EVT03744,College Fest,8269,1.16,7129,High
EVT00752,College Fest,6458,0.76,8498,Low
EVT00530,Religious Gathering,35951,0.37,97167,Low
EVT01098,Political Rally,27065,0.31,87308,Low
EVT03096,Corporate Meetup,396,1.07,371,High
EVT00779,Marathon,19947,0.35,56993,Low
EVT00668,Political Rally,28504,0.51,55892,Low
EVT00064,Exhibition,10665,0.77,13851,Low
EVT02577,Religious Gathering,118114,1.1,107377,High
EVT00847,Marathon,13745,0.7,19637,Low
EVT00700,Conference,1199,0.73,1643,Low
EVT01230,Concert,24005,0.55,43646,Low
EVT01515,Wedding,745,0.94,793,Medium
EVT03471,Product Launch,1700,1.21,1405,High
EVT03441,Festival,75284,1.14,66039,High
EVT00599,Exhibition,5198,0.73,7121,Low
EVT04644,Festival,39545,1.39,28450,Critical
EVT02059,Corporate Meetup,405,0.89,456,Medium
EVT03177,Conference,1241,1.02,1217,High
EVT02559,Exhibition,15347,1.12,13703,High
EVT04595,Sports Match,8391,1.31,6406,Critical
EVT03692,Trade Fair,15557,1.23,12648,High
EVT04065,Corporate Meetup,1138,1.56,730,Critical
EVT04379,Birthday Party,627,1.35,465,Critical
EVT01212,Conference,1808,0.68,2660,Low
EVT01699,Product Launch,453,0.87,521,Medium
EVT00791,Festival,26248,0.75,34998,Low
EVT02624,Movie event,52543,1.3,40418,High
EVT01862,Corporate Meetup,365,0.84,435,Medium
EVT03358,Concert,31480,1.27,24788,High
EVT04019,Movie event,60681,1.64,37001,Very Critical
EVT00009,Conference,954,0.47,2031,Low
EVT03333,Cultural Event,5660,1.03,5496,High
EVT04605,Cultural Event,24104,1.79,13466,Very Critical
EVT03603,Religious Gathering,148736,1.13,131625,High
EVT03654,Festival,26847,1.05,25569,High
EVT03900,Festival,63214,1.39,45478,Critical
EVT02167,Political Rally,93138,0.89,104650,Medium
EVT03809,Political Rally,17287,1.43,12089,Critical
EVT01076,Product Launch,944,0.35,2700,Low
EVT04770,Political Rally,189665,1.7,111568,Very Critical
EVT02647,Product Launch,3065,1.11,2762,High
EVT02867,College Fest,12769,1.02,12519,High
EVT02943,Political Rally,130195,1.26,103330,High
EVT04836,Wedding,751,1.46,515,Critical
EVT03417,Exhibition,6984,1.26,5543,High
EVT03954,Product Launch,3448,1.72,2005,Very Critical
EVT01526,Religious Gathering,40596,0.98,41425,Medium
EVT01102,Sports Match,16288,0.6,27147,Low
EVT00662,Exhibition,1625,0.78,2084,Low
EVT03075,Movie event,65927,1.15,57328,High
EVT04456,Wedding,1208,1.69,715,Very Critical
EVT01022,Religious Gathering,17758,0.35,50739,Low
EVT02915,Marathon,66836,1.25,53469,High
EVT01484,Product Launch,1618,0.96,1686,Medium
EVT01871,Festival,53187,0.85,62574,Medium
EVT03195,Cultural Event,4065,1.15,3535,High
EVT04037,Religious Gathering,199734,1.56,128035,Critical
EVT02306,Sports Match,50473,0.97,52035,Medium
EVT03098,Political Rally,166861,1.27,131387,High
EVT01595,Marathon,110879,0.89,124584,Medium
EVT04333,Birthday Party,277,1.69,164,Very Critical
EVT02245,Product Launch,1314,0.9,1461,Medium
EVT03718,Trade Fair,9772,1.02,9581,High
EVT03201,Exhibition,3593,1.13,3180,High
EVT02395,Marathon,63277,0.82,77168,Medium
EVT04132,Festival,83091,1.76,47211,Very Critical
EVT04116,College Fest,9983,1.37,7287,Critical
EVT02292,Sports Match,20735,0.83,24982,Medium
EVT00813,Movie event,4193,0.35,11982,Low
EVT01596,Conference,2591,0.88,2945,Medium
EVT03233,Festival,54587,1.12,48739,High
EVT02970,Product Launch,3573,1.2,2978,High
EVT01327,Exhibition,2835,0.94,3016,Medium
EVT01669,Conference,2457,0.95,2587,Medium
EVT01135,Birthday Party,334,0.53,632,Low
EVT02271,Birthday Party,576,0.88,655,Medium
EVT03888,Religious Gathering,75529,1.41,53567,Critical
EVT03004,Cultural Event,8596,1.27,6769,High
EVT03013,Product Launch,1329,1.02,1303,High
EVT03302,Sports Match,17534,1.17,14987,High
EVT04481,Religious Gathering,166463,1.64,101502,Very Critical
EVT04455,Marathon,87272,1.67,52259,Very Critical
EVT00395,Festival,87880,0.8,109851,Low
EVT02078,Exhibition,5485,0.99,5541,Medium
EVT03003,Conference,2797,1.05,2664,High
EVT01412,Product Launch,2308,0.85,2716,Medium
EVT04420,Trade Fair,3815,1.43,2668,Critical
EVT02305,Product Launch,1139,0.93,1225,Medium
EVT03987,Political Rally,155936,1.65,94507,Very Critical
EVT02878,Political Rally,60289,1.28,47101,High
EVT02524,Concert,26346,1.25,21077,High
EVT03458,Movie event,32173,1.03,31236,High
EVT03920,Concert,35356,1.35,26190,Critical
EVT04343,Exhibition,19414,1.73,11222,Very Critical
EVT04147,Product Launch,2191,1.62,1353,Very Critical
EVT03596,Religious Gathering,129504,1.05,123338,High
EVT03339,Birthday Party,360,1.25,288,High
EVT00171,Sports Match,16094,0.5,32188,Low
EVT01012,Sports Match,5986,0.76,7877,Low
EVT02853,Marathon,109525,1.23,89045,High
EVT00106,Birthday Party,333,0.54,617,Low
EVT03331,Political Rally,112979,1.03,109689,High
EVT04026,Festival,180408,1.63,110680,Very Critical
